Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_02_06  10_00_01     1.0     107.999630
    2  2018_02_06  10_00_11    11.0     107.994930
    3  2018_02_06  10_00_21    21.0     107.989990
    4  2018_02_06  10_00_31    31.0     107.985120
    5  2018_02_06  10_00_41    41.0     107.979330
    6  2018_02_06  10_00_51    51.0     107.974140
    7  2018_02_06  10_01_01    61.0     107.969030
    8  2018_02_06  10_01_11    71.0     107.962740
    9  2018_02_06  10_01_21    81.0     107.956720
   10  2018_02_06  10_01_31    91.0     107.950140
   11  2018_02_06  10_01_41   101.0     107.942980
   12  2018_02_06  10_01_51   111.0     107.935490
   13  2018_02_06  10_02_01   121.0     107.927880
   14  2018_02_06  10_02_11   131.0     107.919980
   15  2018_02_06  10_02_21   141.0     107.911460
   16  2018_02_06  10_02_31   151.0     107.902560
   17  2018_02_06  10_02_41   161.0     107.893250
   18  2018_02_06  10_02_51   171.0     107.883860
   19  2018_02_06  10_03_01   181.0     107.874110
   20  2018_02_06  10_03_11   191.0     107.864380
   21  2018_02_06  10_03_21   201.0     107.854050
   22  2018_02_06  10_03_31   211.0     107.843590
   23  2018_02_06  10_03_41   221.0     107.832750
   24  2018_02_06  10_03_51   231.0     107.822060
   25  2018_02_06  10_04_01   241.0     107.811370
   26  2018_02_06  10_04_11   251.0     107.799920
   27  2018_02_06  10_04_21   261.0     107.788970
   28  2018_02_06  10_04_31   271.0     107.776900
   29  2018_02_06  10_04_41   281.0     107.766440
   30  2018_02_06  10_04_51   291.0     107.753870
   31  2018_02_06  10_05_01   301.0     107.741830
   32  2018_02_06  10_05_11   311.0     107.729940
   33  2018_02_06  10_05_21   321.0     107.716750
   34  2018_02_06  10_05_31   331.0     107.704330
   35  2018_02_06  10_05_41   341.0     107.691400
   36  2018_02_06  10_05_51   351.0     107.677860
   37  2018_02_06  10_06_01   361.0     107.664910
   38  2018_02_06  10_06_11   371.0     107.651170
   39  2018_02_06  10_06_21   381.0     107.637950
   40  2018_02_06  10_06_31   391.0     107.624360
   41  2018_02_06  10_06_41   401.0     107.610700
   42  2018_02_06  10_06_51   411.0     107.596400
   43  2018_02_06  10_07_01   421.0     107.582360
   44  2018_02_06  10_07_11   431.0     107.568730
   45  2018_02_06  10_07_21   441.0     107.553900
   46  2018_02_06  10_07_31   451.0     107.539800
   47  2018_02_06  10_07_41   461.0     107.525530
   48  2018_02_06  10_07_51   471.0     107.511110
   49  2018_02_06  10_08_01   481.0     107.496400
   50  2018_02_06  10_08_11   491.0     107.482180
   51  2018_02_06  10_08_21   501.0     107.467850
   52  2018_02_06  10_08_31   511.0     107.452580
   53  2018_02_06  10_08_41   521.0     107.437920
   54  2018_02_06  10_08_51   531.0     107.422920
   55  2018_02_06  10_09_01   541.0     107.408050
   56  2018_02_06  10_09_11   551.0     107.393050
   57  2018_02_06  10_09_21   561.0     107.377660
   58  2018_02_06  10_09_31   571.0     107.362650
   59  2018_02_06  10_09_41   581.0     107.347170
   60  2018_02_06  10_09_51   591.0     107.332250
   61  2018_02_06  10_10_01   601.0     107.316480
   62  2018_02_06  10_10_11   611.0     107.301590
   63  2018_02_06  10_10_21   621.0     107.285350
   64  2018_02_06  10_10_31   631.0     107.269960
   65  2018_02_06  10_10_41   641.0     107.254160
   66  2018_02_06  10_10_51   651.0     107.238720
   67  2018_02_06  10_11_01   661.0     107.223150
   68  2018_02_06  10_11_11   671.0     107.207140
   69  2018_02_06  10_11_21   681.0     107.191730
   70  2018_02_06  10_11_31   691.0     107.175600
   71  2018_02_06  10_11_41   701.0     107.159950
   72  2018_02_06  10_11_51   711.0     107.144060
   73  2018_02_06  10_12_01   721.0     107.127790
   74  2018_02_06  10_12_11   731.0     107.112170
   75  2018_02_06  10_12_21   741.0     107.095460
   76  2018_02_06  10_12_31   751.0     107.079630
   77  2018_02_06  10_12_41   761.0     107.063330
   78  2018_02_06  10_12_51   771.0     107.047350
   79  2018_02_06  10_13_01   781.0     107.030930
   80  2018_02_06  10_13_11   791.0     107.015370
   81  2018_02_06  10_13_21   801.0     106.998600
   82  2018_02_06  10_13_31   811.0     106.982330
   83  2018_02_06  10_13_41   821.0     106.965730
   84  2018_02_06  10_13_51   831.0     106.949460
   85  2018_02_06  10_14_01   841.0     106.932810
   86  2018_02_06  10_14_11   851.0     106.916690
   87  2018_02_06  10_14_21   861.0     106.900150
   88  2018_02_06  10_14_31   871.0     106.883850
   89  2018_02_06  10_14_41   881.0     106.867730
   90  2018_02_06  10_14_51   891.0     106.850790
   91  2018_02_06  10_15_01   901.0     106.834220
   92  2018_02_06  10_15_11   911.0     106.817920
   93  2018_02_06  10_15_21   921.0     106.801150
   94  2018_02_06  10_15_31   931.0     106.784620
   95  2018_02_06  10_15_41   941.0     106.768230
   96  2018_02_06  10_15_51   951.0     106.751310
   97  2018_02_06  10_16_01   961.0     106.734720
   98  2018_02_06  10_16_11   971.0     106.718270
   99  2018_02_06  10_16_21   981.0     106.701740
  100  2018_02_06  10_16_31   991.0     106.684620
  101  2018_02_06  10_16_41  1001.0     106.667520
  102  2018_02_06  10_16_51  1011.0     106.651020
  103  2018_02_06  10_17_01  1021.0     106.634720
  104  2018_02_06  10_17_11  1031.0     106.617800
  105  2018_02_06  10_17_21  1041.0     106.600560
  106  2018_02_06  10_17_31  1051.0     106.583740
